epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.059312414,6.492398396946975,1e-05,0.28188834,5.593383382571268
1,0.48759016,4.539688410236022,1.8e-05,0.76940536,2.090318935133155
2,0.80887103,1.835772516272903,2.6e-05,0.9204494,0.46910569546211034
3,0.93207383,0.5489001889167977,3.4e-05,0.9659555,0.16264129651853096
4,0.9711951,0.21157568155574516,4.2e-05,0.97389925,0.10307000731110845
5,0.9852192,0.1059081634245487,5e-05,0.97662276,0.08863371827846138
6,0.9935807,0.04844628763003793,4.2e-05,0.9798003,0.07913020924495963
7,0.9975029,0.024097560399319044,3.56e-05,0.9802542,0.07363179486362709
8,0.99889016,0.013274221926387686,3.048e-05,0.9833182,0.061222486573852666
9,0.9993568,0.007909086975951338,2.6384e-05,0.9827508,0.0711635260768978
10,0.9996469,0.004842441981369234,2.31072e-05,0.9847935,0.06535219786898608
11,0.99984866,0.002841832153460273,2.048576e-05,0.9851339,0.06453267072147849
12,0.9998991,0.0017054196048177444,1.8388608e-05,0.98660916,0.05987353361421704
13,0.9998739,0.0013287903796457533,1.6710886e-05,0.9870631,0.05835120108780105
14,0.99993694,0.0008486558225592522,1.5368709e-05,0.98683614,0.057169082488916466
15,0.99998736,0.0005433772817672026,1.42949675e-05,0.98558784,0.05894611331029768
16,0.99998736,0.0003408848991325493,1.3435973e-05,0.9883114,0.057740696390722664
17,1.0,0.00025434496547604925,1.2748779e-05,0.9869496,0.061068910539206496
18,1.0,0.00016722952763914323,1.2199023e-05,0.9871766,0.05774308055789684
19,1.0,0.00013192268664137356,1.1759219e-05,0.9884249,0.0560962189010972
20,1.0,9.237009877419582e-05,1.1407375e-05,0.98785746,0.05861883388206329
21,1.0,7.096175534786531e-05,1.11259e-05,0.9876305,0.06097881067996619
22,0.99998736,8.305384349497735e-05,1.090072e-05,0.987744,0.06169027740996966
23,1.0,4.768685456886586e-05,1.0720576e-05,0.9887653,0.05774576485079583
24,0.99998736,4.3740083192747855e-05,1.0576461e-05,0.98808444,0.05797643651448227
