epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.04092262,6.651360795948176,1e-05,0.28221416,5.828940988019677
1,0.385341,5.455593725839289,1.8e-05,0.71597093,3.3782020432472284
2,0.682443,3.460202677324234,2.6e-05,0.86206895,1.178719210989026
3,0.8356033,1.6791284303665703,3.4e-05,0.9422641,0.3987836930131753
4,0.8984438,0.9365126094476435,4.2e-05,0.9698276,0.16932776220477297
5,0.921648,0.6990315350513628,5e-05,0.9767468,0.10530024093635779
6,0.93718475,0.5713050282392385,4.2e-05,0.9819646,0.07923455751771984
7,0.9453188,0.5021711292765559,3.56e-05,0.98491377,0.06821987057524587
8,0.9493291,0.46286516723503407,3.048e-05,0.9845735,0.06456865049988511
9,0.94987136,0.43510128059449826,2.6384e-05,0.9865018,0.05835640063378543
10,0.95154864,0.4148711552626758,2.31072e-05,0.9877495,0.055118568164563175
11,0.95426,0.39572145810744086,2.048576e-05,0.98752266,0.05390279926278608
12,0.95557153,0.3786924146806203,1.8388608e-05,0.9868421,0.053290512380995844
13,0.95593727,0.3778432196999086,1.6710886e-05,0.987863,0.050490893223373946
14,0.9559877,0.36388490538649704,1.5368709e-05,0.98797643,0.050290291519827335
15,0.95606333,0.3621798173664327,1.42949675e-05,0.987863,0.05104785877276552
16,0.95699656,0.3487980512414164,1.3435973e-05,0.98854357,0.04935191812345026
17,0.95659304,0.34605744619134665,1.2748779e-05,0.98843014,0.049877890013660275
18,0.9583081,0.33674122526636563,1.2199023e-05,0.987863,0.04944933729133685
19,0.9572866,0.33967848151928426,1.1759219e-05,0.98797643,0.04759970230750031
20,0.9586108,0.3280240966697472,1.1407375e-05,0.9882033,0.04748291806705668
21,0.9589008,0.330661782572739,1.11259e-05,0.9882033,0.047285333713118126
22,0.9589765,0.32281855333271275,1.090072e-05,0.98933756,0.0461541007421218
23,0.95916563,0.31841563366825504,1.0720576e-05,0.9889973,0.046895408848411264
24,0.9587369,0.31647827256202765,1.0576461e-05,0.98922414,0.044491274651246054
25,0.95948094,0.31274174854396697,1.0461169e-05,0.9895644,0.04555055794608308
26,0.95732445,0.31925592172626355,1.0368934e-05,0.988657,0.04529361002933634
27,0.9591909,0.31251688538582867,1.0295148e-05,0.9889973,0.043508059410044875
28,0.9598214,0.30407941162487934,1.0236118e-05,0.9891107,0.044004045355290414
29,0.9600863,0.30361010706334574,1.01888945e-05,0.989451,0.04332980769724806
30,0.9620283,0.2987189418862058,1.0151116e-05,0.98854357,0.04482426749642756
31,0.9596575,0.302300943979336,1.01208925e-05,0.9889973,0.04415066600705452
32,0.96077985,0.2992345461563388,1.00967145e-05,0.9895644,0.043810068880189415
33,0.9608177,0.29651585824464244,1.0077371e-05,0.98854357,0.0447515611865609
34,0.960679,0.29286322632381734,1.0061897e-05,0.9887704,0.045727560212869264
