epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.03292726,6.7029083820001265,1e-05,0.24818511,5.932949054911868
1,0.3326145,5.642444186531987,1.8e-05,0.69861615,3.5432696874353176
2,0.6290986,3.8518246953000554,2.6e-05,0.85163337,1.314659502374147
3,0.7924738,2.1091948227146586,3.4e-05,0.93318963,0.4551913115244947
4,0.8627169,1.2704343356062824,4.2e-05,0.96302176,0.1993128192402822
5,0.89239055,0.9552219139384421,5e-05,0.9762931,0.11631115256648812
6,0.9103233,0.8029393354412285,4.2e-05,0.9803766,0.08748900386544582
7,0.92066437,0.7143701997560836,3.56e-05,0.9842332,0.07600956390728864
8,0.9252421,0.6621301634372894,3.048e-05,0.9852541,0.06573227996638084
9,0.928811,0.6296571424327406,2.6384e-05,0.98706895,0.06221970695202623
10,0.93154764,0.5850670128883738,2.31072e-05,0.9871824,0.05972277079643485
11,0.93343925,0.567427365111277,2.048576e-05,0.9877495,0.05512292740207632
12,0.9348013,0.5451331250939175,1.8388608e-05,0.98808986,0.053010230498820435
13,0.93483907,0.5373905895466856,1.6710886e-05,0.98752266,0.05393429495118244
14,0.937727,0.5193205150032149,1.5368709e-05,0.9882033,0.0510820142237912
15,0.9374748,0.5055010519048712,1.42949675e-05,0.98922414,0.04915916165215634
16,0.9385215,0.4963164549260086,1.3435973e-05,0.98888385,0.0503082167127548
17,0.93937904,0.4926345062246595,1.2748779e-05,0.98854357,0.05114551200394752
18,0.93848366,0.48544471826048124,1.2199023e-05,0.9899047,0.049776472050490496
19,0.9383323,0.47997044411477036,1.1759219e-05,0.9887704,0.049761930803036834
20,0.9401483,0.4642206306373937,1.1407375e-05,0.98922414,0.04888223566630747
21,0.93950516,0.466930417952785,1.11259e-05,0.98888385,0.04847855098526277
22,0.93964386,0.4667408853044044,1.090072e-05,0.9887704,0.04731446581914488
23,0.9406023,0.4546264417808365,1.0720576e-05,0.9891107,0.04703213467414235
24,0.9411698,0.4434628874760803,1.0576461e-05,0.9899047,0.045570534455589874
25,0.94124544,0.44427846030207735,1.0461169e-05,0.98922414,0.047638250382083476
26,0.94067794,0.4395125128635377,1.0368934e-05,0.989451,0.04633092322036589
27,0.9409428,0.43311343306171235,1.0295148e-05,0.9882033,0.047363000687291774
28,0.9428975,0.42299914411571354,1.0236118e-05,0.98933756,0.04605486799040589
29,0.94201475,0.430669019517066,1.01888945e-05,0.98922414,0.045819046868874364
